País,Coca_cultivo,Opio_cultivo,Cocaína_produccion,Categoría_Cocaína_produccion,Opioides_produccion,Categoría_Opioides_produccion,Metanfetaminas_produccion,Categoría_Metanfetaminas_produccion,Cocaína_consumo,Categoría_Cocaína_consumo,Cannabis_consumo,Categoría_Cannabis,Metanfetaminas_consumo,Categoría_Metanfetaminas_consumo,Opioides_consumo,Categoría_Opioides_consumo,Cocaína_trafico,Cannabis_trafico,Metanfetaminas_trafico,Heroína_trafico,Población,Consumo_Tn,Mercado_USD
Afghanistan,,187414.29,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,2.5,Alta,5.6,Media,0.1,Muy Baja,,,,881.54,,17793.59,,,
Germany,,,1.0,MUY BAJA,1.0,MUY BAJA,38.0,ALTA,1.03,Media,6.62,Media,1.15,Alta,0.36,Baja,49544.4510600971,4653.34,34897.0251716247,34516.02,831375.0,69.004125,3039619285.5075
Saudi Arabia,,,,,,,,,,,,,,,,,,6620.37,,,,,
Algeria,,,,,,,,,0.01,Muy baja,0.52,Muy baja,0.03,Muy Baja,,,,,,,,,
Argentina,,,287.0,ALTA,1.0,MUY BAJA,4.0,BAJA,1.2,Media,5.67,Media,,,0.19,Muy baja,6500.0,,,,506004.0,41.998332,209991660.0
Australia,,,10.0,BAJA,6.0,BAJA,308.0,ALTA,2.73,Alta,10.8,Alta,1.73,Alta,3.1,Alta,159530.39,,85635.3591160221,142964.64,668847.0,55.514301,8856218089.10739
Austria,,,,,,,23.0,MEDIA,1.41,Alta,6.35,Media,1.35,Alta,0.55,Media,59471.364768988,,47449.58,37402.2172513288,121585.0,10.091555,562637089.7193
Azerbaijan,,,,,,,,,,,,,,,,,,3938.46,6000.0,17688.68,,,
Bahamas,,,,,,,,,0.05,Muy baja,3.1,Baja,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,172.4,,164051.0,,,
Belgium,,,22.0,MEDIA,2.0,MUY BAJA,,,,,,,,,,,,,,,,,
Belarus,,,,,,,3.0,BAJA,,,,,,,,,,,,,,,
Bolivia,26000.0,,3446.0,ALTA,,,,,0.49,Baja,1.63,Muy baja,0.1,Muy Baja,,,2400.0,100.0,,,51450.0,4.27035,10248840.0
Bosnia and Herz.,,,,,,,,,,,,,,,,,39145.91,2862.05,,26690.39,,,
Brazil,,,9.0,BAJA,,,,,2.18,Alta,2.81,Baja,1.23,Alta,0.64,Media,,,,,4488953.0,372.583099,931457747.5
Bulgaria,,,,,,,3.0,BAJA,0.37,Baja,3.37,Baja,0.72,Media,0.44,Baja,44296.12,3315.82,11709.6018735363,16163.79,26640.0,2.21112,97944036.8544
Belgium,,,,,,,22.0,MEDIA,1.0,Media,5.8,Media,0.43,Baja,0.37,Baja,38039.15,4512.38,7723.11212814645,17018.1415968436,112398.0,9.329034,354868523.6811
Cape Verde,,,,,,,,,0.2,Muy baja,2.4,Baja,,,,,,,,,,,
Canada,,,,,3.0,BAJA,26.0,MEDIA,,,,,,,,,,,,,,,
Canada,,,,,,,,,1.47,Alta,14.1,Alta,0.74,Media,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,136314.067611778,136314.07,,,
Czechia,,,,,19.0,ALTA,1021.0,ALTA,0.3,Baja,9.41,Alta,0.6,Media,0.16,Muy baja,36997.63,3174.71,28984.1938883035,20811.39,,,
Chile,,,147.0,ALTA,,,,,1.25,Alta,10.78,Alta,0.14,Muy Baja,1.04,Alta,8795.66230076073,2880.08,,,,,
China,,,73.0,ALTA,19.0,ALTA,479.0,ALTA,,,,,,,,,,3902.22,26840.43,50963.73,,,
Cyprus,,,,,,,1.0,MUY BAJA,0.33,Baja,2.8,Baja,0.17,Muy Baja,0.19,Muy baja,,,,,,,
Colombia,119794.83,408.76,24514.0,ALTA,6.0,BAJA,,,0.66,Media,2.98,Baja,,,0.28,Baja,1215.06,86.49,,4676.09,314565.0,26.108895,31723873.9587
Costa Rica,,,,,,,,,1.21,Alta,4.12,Media,,,1.41,Alta,7300.22,,,,58773.0,4.878159,35611633.89498
Côte d'Ivoire,,,,,,,,,0.59,Baja,3.24,Baja,0.61,Media,,,,,,,,,
Côte d'Ivoire,,,1.0,MUY BAJA,,,,,,,,,,,,,,,,,,,
