País,Población,Consumo_Tn,Mercado_USD
Estados Unidos,7409071,614.952893,18756063236.5
Brasil,4488953,372.583099,931457747.5
India,1300000,107.9,6438034772.0
España,1056208,87.665264,3748080146.4248
Alemania,831375,69.004125,3039619285.5075
Francia,795088,65.992304,2544187437.72816
México,784635,65.124705,664380749.25735
Australia,668847,55.514301,8856218089.10739
Italia,656593,54.497219,2396256343.73475
Argentina,506004,41.998332,209991660.0
Egipto,315000,26.145,1669007384.1
Colombia,314565,26.108895,31723873.9587
Ecuador,276923,22.984609,47991863.592
Venezuela,217914,18.086862,37765367.856
Polonia,215600,17.8948,753367322.092
Perú,210603,17.480049,48944137.2
Guatemala,190788,15.835404,210582052.76472
Austria,121585,10.091555,562637089.7193
Bélgica,112398,9.329034,354868523.6811
Suecia,100398,8.333034,389986407.8517
Irlanda,84744,7.033752,250311468.83688
Dinamarca,69730,5.78759,274618714.7122
Uruguay,68880,5.71704,45736320.0
Costa Rica,58773,4.878159,35611633.89498
Bolivia,51450,4.27035,10248840.0
Croacia,45211,3.752513,164701060.25631
Grecia,43200,3.5856,163755176.688
República Checa,31500,2.6145,96730303.635
Reino Unido,30552,2.535816,97665533.18304
Bulgaria,26640,2.21112,97944036.8544
El Salvador,23310,1.93473,25151490.0
Estonia,13553,1.124899,80063988.88762
Letonia,13400,1.1122,46878818.486
Eslovenia,13397,1.111951,50123537.54161
Túnez,11000,0.913,49547761.34
Trinidad y Tobago,6480,0.53784,4145815.9368
