País,Cocaína,Cannabis,Metanfetaminas,Heroína
Sri Lanka,177609.98,1731.53,4567.11373635575,145917.64
Australia,159530.39,,85635.3591160221,142964.64
Finlandia,94686.5555244494,5751.15,14874.1418764302,53374.3333333333
Palestina,75000.0,4464.29,,
Moldavia,71174.38,,,126448.89
Estonia,71174.38,7278.84,4744.96,
Egipto,63836.58,2168.57,31709.7919837646,6341.96
India,59666.68,753.22,9763.63858264513,191331.41
Austria,59471.364768988,,47449.58,37402.2172513288
Reino Unido,57087.6319862155,2562.87,44987.146529563,33375.0545194012
Túnez,54269.18,12933.97,,54269.18
Suiza,53799.5833333333,,,27969.5833333333
Grecia,51711.2017907801,5316.01,11591.1485774499,20594.97
Alemania,49544.4510600971,4653.34,34897.0251716247,34516.02
Malasia,48355.9,564.33,8704.06,21340.77
Noruega,48200.548372366,,,33817.75
Suecia,48026.8521385096,4584.52,,42621.85
Dinamarca,47449.58,3618.17,,44576.41125
Italia,47145.7888460069,2739.99,5338.08,33596.11
Eslovenia,45077.11,4722.55,,28604.12
Bulgaria,44296.12,3315.82,11709.6018735363,16163.79
Croacia,43890.87,,,26315.79
España,42754.45,1764.63,,38462.4787709966
Latvia,42149.63,,4500.0,
Polonia,42099.79,2858.63,11694.39,23047.38
Paises Bajos,41899.0833333333,,,22239.75
Bosnia,39145.91,2862.05,,26690.39
Irlanda,38817.3458930571,7668.19,,43361.3744288914
Francia,38552.79,2875.57,,15985.335
Bélgica,38039.15,4512.38,7723.11212814645,17018.1415968436
Chequia,36997.63,3174.71,28984.1938883035,20811.39
Kenia,36560.06,293.63,73120.13,27420.05
Montenegro,35587.19,1175.81,,17913.59
Portugal,32824.5689834852,,,30022.9166666667
Estados Unidos,30500.0,,10500.0,35500.0
Emiratos Árabes Unidos,27566.02,,27396.0,13612.85
Ghana,18000.0,92.6,,20000.0
Guatemala,13298.18,93.78,1941.5,49991.58
El Salvador,13000.0,,50000.0,50000.0
Honduras,12500.0,,,
México,10201.67,56.64,4815.5,19910.0
Chile,8795.66230076073,2880.08,,
Uruguay,8000.0,516.67,,
Trinidad y Tobago,7708.27,,,29054.25
Paraguay,7557.21894342882,,,
Costa Rica,7300.22,,,
Argentina,6500.0,,,
Venezuela,5500.0,,,
Perú,2800.0,135.0,,
Bolivia,2400.0,100.0,,
Ecuador,2088.0,800.0,,8000.0
Colombia,1215.06,86.49,,4676.09
Zambia,,2709.64,,
Uzbekistán,,3587.5,,16000.0
Ucrania,,2000.0,20089.1226532252,20089.12
Togo,,,,28911.62
Tayikistán,,675.0,20000.0,7000.0
Tailandia,,231.5,,16285.71
Sudáfrica,,180.36,,
Serbia,,1725.34,,15421.12
Senegal,,1845.73,,
Rumania,,5316.01,,21074.82
Panamá,,,3500.0,14000.0
Pakistán,,346.4,4490.7490569427,2586.05
Oman,,2012.99,,
Nueva Zelanda,,,106307.58,
Nigeria,,138.3,,
Nepal,,213.04,,
Morocco,,514.64,,
Mongolia,,279.17,,
Madagascar,,18.12,,
Macedonia,,2158.49,,12644.89
Lithuania,,6550.95,,
Letonia,,5603.57,,
Lebanon,,5600.0,,
Laos,,300.0,,
Kuwait,,11513.16,,
Kirguistán,,1500.0,,10000.0
Kazakhstan,,719.45,,
Israel,,,,21618.28
Irán,,380.8,,40045.77
Indonesia,,176.06,,
Gambia,,,,7692.31
Federación Rusa,,28789.46,,15026.71
China,,3902.22,26840.43,50963.73
Catar,,,136314.067611778,136314.07
Bangladés,,172.4,,164051.0
Azerbaiyán,,3938.46,6000.0,17688.68
Arabia Saudita,,6620.37,,
Albania,,881.54,,17793.59
